original_name,source,year_start,year_end,common_name,target_polity_code,confidence,basis,rows,area_code,iso3,match_route,match_status
Argentina,faostat,1961,2024,Argentina,ARG-1902-2025,high,FAOSTAT area code 9; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,242032,9,ARG,iso-equal,matched
Australia,faostat,1961,2024,Australia,AUS-1901-2025,high,FAOSTAT area code 10; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,253557,10,AUS,iso-equal,matched
Austria,faostat,1961,2024,Austria,AUT-1919-2025,high,FAOSTAT area code 11; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,255267,11,AUT,iso-equal,matched
Bahamas,faostat,1961,2024,Bahamas,BHS-1800-2025,high,FAOSTAT area code 12; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,163402,12,BHS,iso-equal,matched
Bahrain,faostat,1961,2024,Bahrain,BHR-1800-2025,high,FAOSTAT area code 13; observed 1961-2024 in pins faostat-cbs-new;faostat-fbs-new;faostat-production;faostat-trade-totals; iso-equal period match,77122,13,BHR,iso-equal,matched
Barbados,faostat,1961,2024,Barbados,BRB-1800-2025,high,FAOSTAT area code 14; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,198640,14,BRB,iso-equal,matched
Belgium-Luxembourg,faostat,1961,1999,Belgium-Luxembourg,BLX-1850-1999,high,FAOSTAT area code 15; observed 1961-1999 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,156557,15,BLX,iso-equal,matched
Bangladesh,faostat,1961,1970,East Pakistan (1947-1971),BGD-1947-1971,high,FAOSTAT area code 16; observed 1961-1970 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,203548,16,BGD,iso-equal,matched
Bangladesh,faostat,1971,2024,Bangladesh,BGD-1971-2025,high,FAOSTAT area code 16; observed 1971-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,203548,16,BGD,iso-equal,matched
Bermuda,faostat,1961,1967,British Crown Colony of Bermuda,BMU-1684-1968,high,FAOSTAT area code 17; observed 1961-1967 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-old; iso-equal period match,67310,17,BMU,iso-equal,matched
Bermuda,faostat,1968,2013,Bermuda,BMU-1968-2025,high,FAOSTAT area code 17; observed 1968-2013 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-old; iso-equal period match,67310,17,BMU,iso-equal,matched
Bhutan,faostat,1961,2024,Bhutan,BTN-1800-2025,high,FAOSTAT area code 18; observed 1961-2024 in pins faostat-cbs-new;faostat-fbs-new;faostat-production;faostat-trade-totals; iso-equal period match,46525,18,BTN,iso-equal,matched
Bolivia (Plurinational State of),faostat,1961,2024,Bolivia,BOL-1938-2025,high,FAOSTAT area code 19; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,203360,19,BOL,iso-equal,matched
Botswana,faostat,1961,1965,Bechuanaland Protectorate (1885-1966),BEC-1885-1966,high,FAOSTAT area code 20; observed 1961-1965 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; manual-route period match,211714,20,BWA,manual-route,matched
Botswana,faostat,1966,2024,Botswana,BWA-1966-2025,high,FAOSTAT area code 20; observed 1966-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; manual-route period match,211714,20,BWA,manual-route,matched
Brazil,faostat,1961,2024,Brazil,BRA-1800-2025,high,FAOSTAT area code 21; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,255068,21,BRA,iso-equal,matched
Belize,faostat,1961,1969,British Honduras,BLZ-1886-1970,high,FAOSTAT area code 23; observed 1961-1969 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,177780,23,BLZ,iso-equal,matched
Belize,faostat,1970,1980,Belize (pre-independence),BLZ-1970-1981,high,FAOSTAT area code 23; observed 1970-1980 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,177780,23,BLZ,iso-equal,matched
Belize,faostat,1981,2024,Belize,BLZ-1981-2025,high,FAOSTAT area code 23; observed 1981-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,177780,23,BLZ,iso-equal,matched
Solomon Islands,faostat,1961,2024,Solomon Islands,SLB-1800-2025,high,FAOSTAT area code 25; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,120550,25,SLB,iso-equal,matched
Brunei Darussalam,faostat,1961,2024,Brunei Darussalam,BRN-1888-2025,high,FAOSTAT area code 26; observed 1961-2024 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,161774,26,BRN,iso-equal,matched
Bulgaria,faostat,1961,2024,Bulgaria (1940-2025),BGR-1940-2025,high,FAOSTAT area code 27; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,241988,27,BGR,iso-equal,matched
Myanmar,faostat,1961,2024,Myanmar,MMR-1885-2025,high,FAOSTAT area code 28; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,172477,28,MMR,iso-equal,matched
Burundi,faostat,1961,1961,Burundi (within Ruanda-Urundi),BDI-1922-1962,high,FAOSTAT area code 29; observed 1961-1961 in pins faostat-fbs-new;faostat-production;faostat-trade-totals; iso-equal period match,62205,29,BDI,iso-equal,matched
Burundi,faostat,1962,2024,Burundi,BDI-1962-2025,high,FAOSTAT area code 29; observed 1962-2024 in pins faostat-fbs-new;faostat-production;faostat-trade-totals; iso-equal period match,62205,29,BDI,iso-equal,matched
Cameroon,faostat,1961,2024,Cameroon,CMR-1961-2025,high,FAOSTAT area code 32; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,216617,32,CMR,iso-equal,matched
Canada,faostat,1961,2024,Canada,CAN-1948-2025,high,FAOSTAT area code 33; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,252243,33,CAN,iso-equal,matched
Cabo Verde,faostat,1961,1974,Cape Verde (Portuguese colony),CPV-1886-1975,high,FAOSTAT area code 35; observed 1961-1974 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,150407,35,CPV,iso-equal,matched
Cabo Verde,faostat,1975,2024,Cabo Verde,CPV-1975-2025,high,FAOSTAT area code 35; observed 1975-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,150407,35,CPV,iso-equal,matched
Central African Republic,faostat,1961,2024,Central African Republic,CAF-1960-2025,high,FAOSTAT area code 37; observed 1961-2024 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,155872,37,CAF,iso-equal,matched
Sri Lanka,faostat,1961,2024,Sri Lanka,LKA-1800-2025,high,FAOSTAT area code 38; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,229589,38,LKA,iso-equal,matched
Chad,faostat,1961,2024,Chad,TCD-1960-2025,high,FAOSTAT area code 39; observed 1961-2024 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,134061,39,TCD,iso-equal,matched
Chile,faostat,1961,2024,Chile,CHL-1902-2025,high,FAOSTAT area code 40; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,230765,40,CHL,iso-equal,matched
"China, mainland",faostat,1961,2024,China (PRC),CHN-1950-2025,high,FAOSTAT area code 41; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,269529,41,CHN,iso-equal,matched
Christmas Island,faostat,1946,1958,Christmas Island (under Singapore administration),CXR-1946-1958,high,FAOSTAT area code 42; no data in scanned pins; registry map to CXR-1946-1958 (1946-1958),0,42,CXR,registry,matched
Colombia,faostat,1961,2024,Colombia,COL-1922-2025,high,FAOSTAT area code 44; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,235230,44,COL,iso-equal,matched
Comoros,faostat,1961,1974,Comoros (1946-1975),COM-1946-1975,high,FAOSTAT area code 45; observed 1961-1974 in pins faostat-cbs-new;faostat-fbs-new;faostat-production;faostat-trade-totals; iso-equal period match,52459,45,COM,iso-equal,matched
Comoros,faostat,1975,2024,Comoros,COM-1975-2025,high,FAOSTAT area code 45; observed 1975-2024 in pins faostat-cbs-new;faostat-fbs-new;faostat-production;faostat-trade-totals; iso-equal period match,52459,45,COM,iso-equal,matched
Congo,faostat,1961,2024,Congo,COG-1960-2025,high,FAOSTAT area code 46; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,170222,46,COG,iso-equal,matched
Cook Islands,faostat,1961,2024,Cook Islands,COK-1800-2025,high,FAOSTAT area code 47; observed 1961-2024 in pins faostat-production;faostat-trade-totals; iso-equal period match,42137,47,COK,iso-equal,matched
Costa Rica,faostat,1961,2024,Costa Rica,CRI-1800-2025,high,FAOSTAT area code 48; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,216304,48,CRI,iso-equal,matched
Cuba,faostat,1961,2024,Cuba,CUB-1800-2025,high,FAOSTAT area code 49; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,171184,49,CUB,iso-equal,matched
Cyprus,faostat,1961,2024,Cyprus,CYP-1879-2025,high,FAOSTAT area code 50; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,233146,50,CYP,iso-equal,matched
Czechoslovakia,faostat,1961,1992,Czechoslovakia (1947-1993),F51-1947-1993,high,FAOSTAT area code 51; observed 1961-1992 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-old;faostat-production;faostat-trade-totals; manual-replace period match,92870,51,CSK,manual-replace,matched
Azerbaijan,faostat,1992,2024,Azerbaijan,AZE-1991-2025,high,FAOSTAT area code 52; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,103326,52,AZE,iso-equal,matched
Benin,faostat,1961,2024,Benin,BEN-1960-2025,high,FAOSTAT area code 53; observed 1961-2024 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,176976,53,BEN,iso-equal,matched
Denmark,faostat,1961,2024,Denmark,DNK-1920-2025,high,FAOSTAT area code 54; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,255081,54,DNK,iso-equal,matched
Dominica,faostat,1961,2024,Dominica,DMA-1800-2025,high,FAOSTAT area code 55; observed 1961-2024 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,149397,55,DMA,iso-equal,matched
Dominican Republic,faostat,1961,2024,Dominican Republic,DOM-1800-2025,high,FAOSTAT area code 56; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,181837,56,DOM,iso-equal,matched
Belarus,faostat,1992,2024,Belarus,BLR-1991-2025,high,FAOSTAT area code 57; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,110351,57,BLR,iso-equal,matched
Ecuador,faostat,1961,2024,Ecuador,ECU-1942-2025,high,FAOSTAT area code 58; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,221065,58,ECU,iso-equal,matched
Egypt,faostat,1961,1966,Egypt (1925-1967),EGY-1925-1967,high,FAOSTAT area code 59; observed 1961-1966 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,243914,59,EGY,iso-equal,matched
Egypt,faostat,1967,1978,Egypt (1967-1979),EGY-1967-1979,high,FAOSTAT area code 59; observed 1967-1978 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,243914,59,EGY,iso-equal,matched
Egypt,faostat,1979,2024,Egypt,EGY-1979-2025,high,FAOSTAT area code 59; observed 1979-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,243914,59,EGY,iso-equal,matched
El Salvador,faostat,1961,2024,El Salvador,SLV-1821-2025,high,FAOSTAT area code 60; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,207960,60,SLV,iso-equal,matched
Equatorial Guinea,faostat,1961,1967,Equatorial Guinea (1886-1968),GNQ-1886-1968,high,FAOSTAT area code 61; observed 1961-1967 in pins faostat-production;faostat-trade-totals; iso-equal period match,23719,61,GNQ,iso-equal,matched
Equatorial Guinea,faostat,1968,2024,Equatorial Guinea,GNQ-1968-2025,high,FAOSTAT area code 61; observed 1968-2024 in pins faostat-production;faostat-trade-totals; iso-equal period match,23719,61,GNQ,iso-equal,matched
Ethiopia PDR,faostat,1961,1992,Ethiopia (1952-1993),ETH-1952-1993,high,FAOSTAT area code 62; observed 1961-1992 in pins faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,85546,62,ETH,iso-equal,matched
Estonia,faostat,1992,2024,Estonia,EST-1991-2025,high,FAOSTAT area code 63; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,117745,63,EST,iso-equal,matched
Faroe Islands,faostat,1961,2024,Faroe Islands,FRO-1800-2025,high,FAOSTAT area code 64; observed 1961-2024 in pins faostat-production;faostat-trade-totals; iso-equal period match,45036,64,FRO,iso-equal,matched
Falkland Islands (Malvinas),faostat,1850,2025,Falkland Islands,FLK-1833-2025,high,FAOSTAT area code 65; no data in scanned pins; registry map to FLK-1833-2025 (1850-2025),0,65,FLK,registry,matched
Fiji,faostat,1961,2024,Fiji,FJI-1800-2025,high,FAOSTAT area code 66; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,203519,66,FJI,iso-equal,matched
Finland,faostat,1961,2024,Finland (1940-2025),FIN-1940-2025,high,FAOSTAT area code 67; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,229594,67,FIN,iso-equal,matched
France,faostat,1961,2024,France,FRA-1919-2025,high,FAOSTAT area code 68; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,269731,68,FRA,iso-equal,matched
French Guiana,faostat,1961,2006,French Guiana (Overseas Department),GUF-1946-2025,high,FAOSTAT area code 69; observed 1961-2006 in pins faostat-production;faostat-trade-totals; manual-route period match,8934,69,GUF,manual-route,matched
French Polynesia,faostat,1961,2024,French Polynesia,PYF-1800-2025,high,FAOSTAT area code 70; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,170270,70,PYF,iso-equal,matched
Djibouti,faostat,1961,1976,French Somaliland,FRS-1884-1977,high,FAOSTAT area code 72; observed 1961-1976 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; manual-route period match,140634,72,DJI,manual-route,matched
Djibouti,faostat,1977,2024,Djibouti (formerly French Somaliland),FRS-1977-2025,high,FAOSTAT area code 72; observed 1977-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; manual-route period match,140634,72,DJI,manual-route,matched
Georgia,faostat,1992,2024,Georgia,GEO-1991-2025,high,FAOSTAT area code 73; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,101509,73,GEO,iso-equal,matched
Gabon,faostat,1961,2024,Gabon,GAB-1960-2025,high,FAOSTAT area code 74; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,162217,74,GAB,iso-equal,matched
Gambia,faostat,1961,2024,Gambia,GMB-1800-2025,high,FAOSTAT area code 75; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,141154,75,GMB,iso-equal,matched
Germany,faostat,1961,1989,"Germany (divided, 1949-1990)",DEU-1949-1990,high,FAOSTAT area code 79; observed 1961-1989 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,266337,79,DEU,iso-equal,matched
Germany,faostat,1990,2024,Germany,DEU-1990-2025,high,FAOSTAT area code 79; observed 1990-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,266337,79,DEU,iso-equal,matched
Bosnia and Herzegovina,faostat,1992,2024,Bosnia and Herzegovina,BIH-1992-2025,high,FAOSTAT area code 80; observed 1992-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,103643,80,BIH,iso-equal,matched
Ghana,faostat,1961,2024,Ghana,GHA-1957-2025,high,FAOSTAT area code 81; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,191734,81,GHA,iso-equal,matched
Kiribati,faostat,1961,2024,Kiribati,KIR-1800-2025,high,FAOSTAT area code 83; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,105746,83,KIR,iso-equal,matched
Greece,faostat,1961,2024,Greece (1947-2025),GRC-1947-2025,high,FAOSTAT area code 84; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,268331,84,GRC,iso-equal,matched
Greenland,faostat,1850,2025,Greenland,GRL-1800-2025,high,FAOSTAT area code 85; no data in scanned pins; registry map to GRL-1800-2025 (1850-2025),0,85,GRL,registry,matched
Grenada,faostat,1961,2024,Grenada,GRD-1800-2025,high,FAOSTAT area code 86; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,162962,86,GRD,iso-equal,matched
Guadeloupe,faostat,1961,2006,Guadeloupe,GLP-1816-2025,high,FAOSTAT area code 87; observed 1961-2006 in pins faostat-production;faostat-trade-totals; iso-equal period match,11766,87,GLP,iso-equal,matched
Guam,faostat,1898,1950,Territory of Guam,GUM-1898-1950,high,FAOSTAT area code 88; no data in scanned pins; registry map to GUM-1898-1950 (1898-1950),0,88,GUM,registry,matched
Guatemala,faostat,1961,2024,Guatemala,GTM-1821-2025,high,FAOSTAT area code 89; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,224016,89,GTM,iso-equal,matched
Guinea,faostat,1961,2024,Guinea,GIN-1958-2025,high,FAOSTAT area code 90; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,152542,90,GIN,iso-equal,matched
Guyana,faostat,1961,2024,Guyana,GUY-1800-2025,high,FAOSTAT area code 91; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,174251,91,GUY,iso-equal,matched
Haiti,faostat,1961,2024,Haiti,HTI-1800-2025,high,FAOSTAT area code 93; observed 1961-2024 in pins faostat-cbs-new;faostat-cbs-old-animal;faostat-cbs-old-crops;faostat-fbs-new;faostat-fbs-old;faostat-production;faostat-trade-totals; iso-equal period match,152458,93,HTI,iso-equal,matched
