normalised_form,english_label,note
fthiopie,Ethiopia,OCR: f for E-acute
gambie,Gambia,
gold coast and togoland,Gold Coast and Br Togoland,
grande bretagne,United Kingdom,
grece,Greece,
groenland,Greenland,
guadeloupe et dependences,Guadeloupe,
guam,Territory of Guam,
guinee espagnole,Equatorial Guinea (1886-1968),"was 'Spanish Guinea', not a polity_name"
guinee portugaise,Guinea-Bissau (1886-1974),"was 'Portuguese Guinea', not a polity_name"
guyane britannique,Guyana,"was 'British Guiana', not a polity_name"
guyane francaise,French Guiana,
guyane francaise et inini,French Guiana,
guyane neerlandaise,Dutch Guiana,"was 'Surinam', which names only the 1954-1975 row"
hawai,Hawaii,
hawai usa,Hawaii,
honduras britannique,British Honduras,
hongrie,Hungary,NOT retargeted to 'Kingdom of Hungary (Transleithania)': same year-dependence as `allemagne`. Right for 1911-1913 but trades HUN-1920-1938 (6 statements) for HUN-1800-1918 (3).
iles de l egee,Dodecanese,
iles italiennes de l egee,Dodecanese,
iles italiennes de legee,Dodecanese,OCR: lost space
iles nouvelles hebrides,New Hebrides,
iles vierges,United States Virgin Islands,"statements begin 1921, after the 1917 purchase from Denmark"
inde,India,
inde britannique,India,
inde portugaise,Portuguese India,
indes britanniques,India,
indes neerlandaises,Dutch East Indies,"was 'Netherlands Indies', not a polity_name"
indes orientales neerlandaises,Dutch East Indies,"was 'Netherlands Indies', not a polity_name"
indochine,Indochina,
irak,Iraq,
irlande,Ireland,
irlande etat,Ireland,
islande,Iceland,
italie,Italy,
japon,Japanese Empire,"JPN-1895-1945 is the only target that resolves; `japan` itself is routed by alias, not by name. Watch the ratio: iia's japan is metropolitan Japan by a recorded convention, while this polygon is the Empire"
kenia,Kenya,
kenia ex afrique orient,Kenya,
kenya and prot,Kenya,
kouang toung,Kwantung,
kouang toung japonaise,Kwantung,
lettonie,Latvia,
libye,Libya,
lithuanie,Lithuania,
lybie,Libya,OCR: y/i swap
macao,"China, Macao SAR",
madagascar et dependaces,Madagascar,OCR: dropped n
madagascar et dependances,Madagascar,
madagascar et dependences,Madagascar,
malte,Malta,
mandchoukouo,Manchukuo,
maroc espagnol,Spanish Morocco,
maroc francais,French Morocco,
maurice,Mauritius,
memel,Memel,
mexique,Mexico,
mongolian people s republic,Mongolia,
muscat and oman,Oman,
nigerie,Nigeria,
nocvelle zelande,New Zealand,OCR: c for u
norvege,Norway,
nouv caledonie et dependences,New Caledonia,
nouvelle caledonie et,New Caledonia,
nouvelle caledonie et dependences,New Caledonia,
nouvelle guinee,New Guinea,
nouvelle zelande,New Zealand,
nouvelles hebrides,Vanuatu,"was 'New Hebrides', not a polity_name"
nouvelles hebrides iles,New Hebrides,
nouvelles hebrides iles frenchbritish,New Hebrides,
nvassaland,Nyasaland,OCR: v for y
nyassaland,Nyasaland,
ouganda,Uganda,
panama zone du,Panama Canal Zone (US-administered),PANAMA (zone du canal)
pays bas,Netherlands,
perou,Peru,
perse,Iran,
pologne,Poland,
porto rico,Puerto Rico,
protectorat de l afrique sudoccidentale,South West Africa,
republique dominicaine,Dominican Republic,
rhodesie meridionale,Southern Rhodesia,
rhodesie septentrionale,Northern Rhodesia,
rio de oro,Rio de Oro,
roumanie,Romania,
royaume uni,United Kingdom,
ruanda urundi belge,Ruanda-Urundi,
saint marin,San Marino,
saint pierre et miquelon,Saint Pierre and Miquelon,
saint thomas et prince,Sao Tome and Principe,
sainte helene,Saint Helena,
sakhaline japonaise,Karafuto,
samoa americaine,Territory of American Samoa,American Samoa; the plain `Samoa` polity is Western Samoa
samoa occidentale,Western Samoa,
san salvador,El Salvador,
siam,Thailand,
sierra leone,Sierra Leone,
sierra leone colonie et protectorade,Sierra Leone,
sokotra,Socotra,
somalie,Somalia,
somalie britannique,British Somaliland Protectorate (1884-1960),
somalie italienne,Italian Somaliland,
soudan anglo egyptien,Anglo-Egyptian Sudan,
spitzberg,Svalbard,
suede,Sweden,
suisse,Switzerland,
swazieland,Swaziland,OCR: e inserted
swaziland,Swaziland,
syrie et liban,Syria and Lebanon,
tanganvika,Tanganyika,OCR: v for y
tanganvika terr sous,Tanganyika,OCR: v for y; 'terr sous mandat' truncated
tchecoslovaquie,Czechoslovakia,
terre neuve,Dominion of Newfoundland,"was 'Newfoundland', not a polity_name"
terre neuve labrador,Newfoundland,
tibet,Tibet,
timor,Timor,
timor et kambing,Timor-Leste,Portuguese Timor and Kambing
togo,Togo,
transjordanie,Transjordan,
trinite et tabago,Trinidad and Tobago,OCR: a for o
trinite et tobago,Trinidad and Tobago,
tunisie,Tunisia,
u of s africa,South Africa,
union de l afrique du sud,South Africa,
union del afrique du sud,South Africa,OCR: lost space
union delafrique du sud,South Africa,OCR: lost spaces
union sud africaine,South Africa,
vougoslavie,Yugoslavia,OCR: v for Y
yougoslavie,Yugoslavia,
zanzibar,Zanzibar Protectorate,"was 'Zanzibar', not a polity_name"
zanzibar et pemba,Zanzibar,
