source,country,item,unit,constant,n_values,year_first,year_last,series_n,grid,finest_elsewhere,n_finer_elsewhere
iia,saint lucia,lemons and limes,ha,1000.000,9,1934,1945,12,1000,1070.000,3
iia,saint vincent and the grenadines,cacao beans,ha,400.000,9,1909,1917,18,100,305.000,2
iia,trinidad and tobago,coffee green,ha,1700.000,9,1909,1917,20,100,320.000,7
juan,denmark,potatoes,ha,52000.000,9,1888,1896,85,1000,54100.000,21
juan,france,hemp tow waste,ha,4000.000,9,1936,1944,89,1000,2300.000,33
juan,france,hempseed,ha,4000.000,9,1936,1944,89,1000,2300.000,33
juan,mexico,cocoa beans,tonnes,1000.000,9,1901,1909,60,1000,547.200,33
juan,switzerland,grapes,ha,11000.000,9,1940,1948,66,1000,12300.000,29
iia,cyprus,flax fibre and tow,ha,1000.000,8,1934,1942,12,1000,349.000,4
iia,dominica,lemons and limes,ha,1000.000,8,1936,1944,12,1000,400.000,4
iia,fiji,tea,ha,80.000,8,1911,1918,15,10,81.000,6
iia,guadeloupe,cacao beans,ha,3000.000,8,1930,1937,22,1000,4750.000,1
iia,india,sesame seed,tonnes,300.000,8,1934,1943,18,100,425723.700,8
iia,sri lanka,cacao beans,ha,14000.000,8,1930,1937,20,1000,9461.000,12
iia,viet nam,cotton lint,ha,1000.000,8,1934,1942,14,1000,997.000,4
iia,viet nam,cotton seed,ha,1000.000,8,1934,1942,14,1000,997.000,4
iia,viet nam,other berries and fruits of the genus vaccinium n e c,ha,2000.000,8,1934,1942,14,1000,2611.000,4
juan,austria,beans dry,tonnes,2000.000,8,1950,1958,25,1000,1600.000,10
juan,ireland,rye,ha,1000.000,8,1933,1941,56,1000,900.000,32
juan,italy,groundnuts with shell,ha,5000.000,8,1953,1960,26,1000,200.000,1
juan,italy,oranges,ha,33000.000,8,1935,1942,27,1000,32679.000,15
juan,malta,barley,ha,2000.000,8,1933,1940,47,1000,1700.000,22
juan,malta,wheat,tonnes,3000.000,8,1949,1959,45,1000,270.000,34
juan,malta,wheat,ha,4000.000,8,1933,1940,45,1000,3500.000,22
juan,mexico,cocoa beans,tonnes,2000.000,8,1910,1917,60,1000,547.200,33
juan,nicaragua,tobacco unmanufactured,ha,1000.000,8,1933,1959,12,1000,1048.000,3
juan,spain,apricots,ha,3700.000,8,1939,1946,98,100,925.650,76
iia,algeria,rye,ha,2000.000,7,1938,1944,33,1000,91.000,21
iia,algeria,tangerines mandarins clementines satsumas,ha,5000.000,7,1937,1944,14,1000,3453.000,3
iia,cameroon,cacao beans,ha,50000.000,7,1939,1945,15,10000,12140.000,5
iia,guadeloupe,cotton seed,tonnes,100.000,7,1935,1941,15,100,12.000,7
iia,guyana,coffee green,ha,1000.000,7,1939,1945,31,1000,514.000,20
iia,ivory coast,tobacco unmanufactured,ha,2000.000,7,1934,1943,11,1000,85.000,2
iia,malta,wine,ha,1000.000,7,1934,1945,15,1000,651.000,8
iia,montserrat,lemons and limes,tonnes,600.000,7,1939,1945,15,100,241.900,3
iia,new caledonia,coffee green,ha,4000.000,7,1939,1945,16,1000,700.000,2
iia,portugal,oranges,tonnes,100.000,7,1939,1945,11,100,30.000,3
iia,saint lucia,cacao beans,ha,2400.000,7,1910,1916,28,100,2145.000,1
iia,viet nam,groundnuts with shell,ha,2000.000,7,1934,1941,14,1000,1270.000,4
juan,albania,potatoes,ha,1000.000,7,1937,1951,12,1000,400.000,3
juan,argentina,soybeans,tonnes,1000.000,7,1951,1960,15,1000,270.000,8
juan,austria,grapes,ha,207000.000,7,1878,1884,92,1000,29600.000,28
juan,austria,hemp tow waste,ha,1000.000,7,1940,1953,38,1000,100.000,30
juan,austria,hempseed,ha,1000.000,7,1940,1953,38,1000,100.000,30
juan,bolivia,tobacco unmanufactured,tonnes,1000.000,7,1954,1960,10,1000,4100.000,1
juan,bulgaria,berries nes,ha,4000.000,7,1933,1939,24,1000,2306.000,10
juan,canada,hops,ha,400.000,7,1953,1959,42,100,135.000,20
juan,chile,rye,ha,8000.000,7,1954,1960,50,1000,1064.000,26
juan,costa rica,potatoes,ha,1000.000,7,1939,1945,19,1000,692.000,8
juan,ecuador,cotton lint,tonnes,3000.000,7,1954,1960,17,1000,1400.000,7
juan,france,hops,ha,3000.000,7,1886,1892,86,1000,300.000,57
juan,honduras,potatoes,ha,1000.000,7,1953,1959,13,1000,1661.000,1
juan,hungary,hops,ha,100.000,7,1932,1938,33,100,2226.248,4
juan,norway,barley,ha,35900.000,7,1907,1913,64,100,50433.000,4
juan,norway,rye,ha,13000.000,7,1900,1906,64,1000,500.000,26
juan,norway,rye,ha,15000.000,7,1907,1913,64,1000,500.000,26
juan,sweden,wheat,ha,71000.000,7,1890,1896,96,1000,78900.000,31
juan,switzerland,maize,ha,1000.000,7,1953,1959,53,1000,1100.000,23
juan,switzerland,sugar beet,ha,6000.000,7,1953,1959,52,1000,400.000,29
mitchell,dr congo,goats,heads,500000.000,7,1919,1925,26,100000,1109000.000,19
mitchell,mozambique,sugar cane,ha,30000.000,7,1949,1955,14,10000,16000.000,7
iia,australia,hops,ha,500.000,6,1939,1944,28,100,47.000,17
iia,australia,oranges,ha,14000.000,6,1939,1944,14,1000,15366.000,3
iia,bulgaria,other berries and fruits of the genus vaccinium n e c,ha,4000.000,6,1934,1939,19,1000,2306.000,8
iia,congo,cacao beans,tonnes,1700.000,6,1940,1945,17,100,73.700,6
iia,czech republic,hemp tow waste,ha,5000.000,6,1939,1944,10,1000,477.000,3
iia,czech republic,hempseed,ha,5000.000,6,1939,1944,17,1000,6228.000,8
iia,egypt,grapes,ha,3000.000,6,1934,1939,25,1000,1716.000,15
iia,france,eggs hen in shell,tonnes,5.390,6,1939,1944,10,0.01,7.762,2
iia,grenada,cotton lint,ha,2000.000,6,1933,1938,18,1000,1291.000,12
iia,grenada,cotton seed,ha,2000.000,6,1933,1938,12,1000,1310.000,6
iia,guadeloupe,coffee green,ha,7000.000,6,1918,1930,23,1000,6508.000,4
iia,madagascar,cacao beans,ha,1000.000,6,1940,1945,9,1000,1067.000,3
iia,montserrat,sugar raw centrifugal,tonnes,400.000,6,1939,1944,13,100,56.000,2
iia,morocco,tobacco unmanufactured,ha,1000.000,6,1939,1944,10,1000,92.000,4
iia,new zealand,hops,ha,200.000,6,1939,1944,27,100,144.000,17
iia,saint lucia,cacao beans,ha,2000.000,6,1933,1939,28,1000,2145.000,17
iia,saint lucia,cacao beans,tonnes,300.000,6,1933,1939,31,100,307.700,20
iia,saint lucia,lemons and limes,tonnes,100.000,6,1939,1944,14,100,6988.300,3
iia,saint vincent and the grenadines,cotton lint,ha,2000.000,6,1936,1941,33,1000,271.000,21
iia,saint vincent and the grenadines,cotton seed,ha,2000.000,6,1936,1941,20,1000,271.000,8
iia,suriname,oranges,ha,1000.000,6,1939,1944,9,1000,86.000,3
iia,thailand,sesame seed,ha,1000.000,6,1933,1939,16,1000,771.000,5
iia,zimbabwe,groundnuts with shell,ha,2000.000,6,1935,1941,18,1000,1992.000,6
juan,albania,tobacco unmanufactured,ha,2000.000,6,1934,1939,18,1000,800.000,3
juan,austria,hemp tow waste,tonnes,100.000,6,1933,1939,46,100,140.000,21
juan,belgium,rapeseed,tonnes,100.000,6,1933,1941,47,100,80.000,22
juan,brazil,tea,tonnes,700.000,6,1953,1958,21,100,236.000,11
juan,canada,grapes,ha,9000.000,6,1951,1957,16,1000,3969.000,7
juan,chile,hemp tow waste,ha,4000.000,6,1952,1958,32,1000,61.000,13
juan,chile,hempseed,ha,4000.000,6,1952,1958,33,1000,61.000,14
juan,costa rica,oranges,tonnes,1000.000,6,1946,1951,16,1000,100.000,10
juan,czechoslovakia,hemp tow waste,ha,5000.000,6,1939,1944,37,1000,10.117,17
juan,czechoslovakia,hempseed,ha,5000.000,6,1939,1944,37,1000,10.117,17
juan,dominican republic,geese and guinea fowls,heads,1000.000,6,1947,1952,7,1000,3400.000,1
juan,france,hemp tow waste,ha,2000.000,6,1954,1959,89,1000,2300.000,33
juan,france,hempseed,ha,2000.000,6,1954,1959,89,1000,2300.000,33
juan,france,hops,ha,1400.000,6,1953,1958,86,100,3090.000,8
juan,france,oranges,tonnes,1000.000,6,1954,1959,32,1000,100.000,17
juan,france,tangerines mandarins clementines satsumas,tonnes,300.000,6,1934,1940,18,100,70.000,7
juan,haiti,cotton lint,tonnes,1000.000,6,1954,1959,40,1000,1302.000,26
juan,ireland,rye,ha,1000.000,6,1954,1959,56,1000,900.000,32
juan,italy,lemons and limes,ha,27750.000,6,1935,1940,27,10,30628.000,8
juan,malta,maize,tonnes,100.000,6,1937,1943,15,100,110.000,2
juan,mexico,broad beans horse beans dry,tonnes,19000.000,6,1946,1951,34,1000,7372.240,21
juan,mexico,lentils,tonnes,3000.000,6,1953,1959,27,1000,399.983,16
juan,mexico,lentils,ha,4000.000,6,1953,1959,27,1000,1262.000,16
juan,netherlands,grapes,ha,1000.000,6,1946,1951,12,1000,400.000,6
juan,norway,barley,ha,39500.000,6,1901,1906,64,100,50433.000,4
juan,paraguay,potatoes,ha,1000.000,6,1940,1960,10,1000,70.000,4
juan,spain,olives,ha,1123000.000,6,1891,1896,98,1000,869150.000,73
juan,sweden,flax fibre and tow,tonnes,100.000,6,1933,1940,50,100,80.000,23
juan,switzerland,barley,ha,4000.000,6,1933,1938,57,1000,5100.000,21
juan,switzerland,cereals nes,ha,12000.000,6,1933,1938,52,1000,4500.000,32
juan,switzerland,grain mixed,ha,7000.000,6,1933,1938,35,1000,2900.000,11
juan,uruguay,rice paddy,ha,5000.000,6,1936,1942,28,1000,390.000,3
juan,uruguay,sugar beet,ha,1000.000,6,1934,1941,25,1000,607.000,9
juan,uruguay,tobacco unmanufactured,ha,1000.000,6,1934,1941,35,1000,253.000,26
juan,yugoslav sfr,linseed,tonnes,1000.000,6,1951,1959,22,1000,300.000,12
juan,yugoslav sfr,sesame seed,ha,1000.000,6,1934,1939,20,1000,200.000,4
mitchell,cameroon,cattle,heads,1250000.000,6,1951,1956,35,10000,291000.000,17
mitchell,jamaica,goats,heads,350000.000,6,1950,1955,10,10000,224000.000,4
mitchell,sri lanka,rice paddy,ha,340000.000,6,1931,1936,99,10000,135000.000,83
iia,angola,sesame seed,ha,2000.000,5,1937,1942,10,1000,2047.000,2
iia,austria,n,tonnes,24000.000,5,1914,1918,12,1000,4500.000,6
iia,chile,raisins,tonnes,2000.000,5,1939,1943,8,1000,800.000,3
iia,cyprus,sesame seed,ha,1000.000,5,1941,1945,20,1000,562.000,8
iia,czech republic,yarn of true hemp,ha,7000.000,5,1934,1938,13,1000,6240.000,8
iia,egypt,oranges,ha,10000.000,5,1938,1944,13,10000,5325.000,8
iia,grenada,cotton seed,tonnes,300.000,5,1935,1939,18,100,276.000,6
iia,guadeloupe,cacao beans,ha,5000.000,5,1918,1925,22,1000,4750.000,1
iia,kenya,tea,ha,6000.000,5,1939,1943,15,1000,4068.000,4
iia,madagascar,wine,tonnes,291.000,5,1934,1941,12,1,261.900,2
iia,malawi,tea,ha,8000.000,5,1941,1945,32,1000,210.000,21
iia,martinique,cacao beans,tonnes,100.000,5,1941,1945,29,100,171.900,18
iia,mauritius,tea,ha,150.000,5,1911,1915,24,10,45.000,4
iia,mauritius,tea,tonnes,38.000,5,1911,1915,27,1,16.200,1
iia,papua new guinea,cacao beans,ha,1000.000,5,1933,1937,15,1000,238.000,10
iia,saint kitts and nevis,cotton lint,ha,2000.000,5,1936,1940,33,1000,154.000,20
iia,saint kitts and nevis,cotton seed,ha,2000.000,5,1936,1940,20,1000,154.000,7
iia,saint lucia,cacao beans,ha,2400.000,5,1922,1930,28,100,2145.000,1
iia,saint lucia,cacao beans,ha,1000.000,5,1940,1944,28,1000,2145.000,17
iia,saint lucia,cacao beans,tonnes,200.000,5,1940,1944,31,100,307.700,20
iia,serbia,sesame seed,ha,1000.000,5,1934,1938,10,1000,350.000,4
iia,sri lanka,tobacco unmanufactured,ha,6000.000,5,1934,1938,22,1000,5109.000,17
iia,united states of america,n,tonnes,58000.000,5,1914,1918,15,1000,62131.000,4
iia,viet nam,coffee green,ha,2000.000,5,1939,1943,13,1000,3190.000,4
juan,argentina,cotton lint,tonnes,400.000,5,1906,1910,61,100,540.000,15
juan,austria,grapes,ha,40000.000,5,1941,1945,92,10000,27000.000,85
juan,belgium,cherries,tonnes,30000.000,5,1952,1956,9,10000,12000.000,1
juan,belgium,tobacco unmanufactured,ha,3000.000,5,1933,1937,52,1000,1400.000,24
juan,belgium,tobacco unmanufactured,ha,1000.000,5,1955,1959,52,1000,1400.000,24
juan,bulgaria,berries nes,ha,4000.000,5,1941,1945,24,1000,2306.000,10
juan,bulgaria,grapes,ha,146000.000,5,1947,1954,56,1000,43400.000,25
juan,chile,grapes,ha,108000.000,5,1955,1960,54,1000,29680.000,25
juan,colombia,cocoa beans,tonnes,4000.000,5,1919,1923,60,1000,3670.900,21
juan,costa rica,sugar cane,tonnes,3000.000,5,1910,1914,26,1000,28240.000,8
juan,costa rica,sugar cane,tonnes,5000.000,5,1919,1923,26,1000,28240.000,8
juan,cuba,grapefruit inc pomelos,tonnes,7000.000,5,1954,1958,21,1000,1178.300,9
juan,czechoslovakia,hemp tow waste,ha,7000.000,5,1934,1938,37,1000,10.117,17
juan,czechoslovakia,hempseed,ha,7000.000,5,1934,1938,37,1000,10.117,17
juan,czechoslovakia,tobacco unmanufactured,ha,10000.000,5,1933,1937,35,10000,1200.000,28
juan,denmark,barley,ha,233700.000,5,1907,1911,85,100,269804.000,4
juan,denmark,rye,ha,276000.000,5,1907,1911,85,1000,120325.000,26
juan,dominican republic,horses,heads,242000.000,5,1955,1959,20,1000,114733.000,6
juan,ecuador,rye,tonnes,4000.000,5,1956,1960,15,1000,3700.000,3
juan,el salvador,tobacco unmanufactured,ha,1000.000,5,1955,1959,15,1000,400.000,5
juan,finland,sugar beet,ha,3000.000,5,1933,1937,42,1000,600.000,9
juan,france,hops,ha,2000.000,5,1896,1900,86,1000,300.000,57
juan,france,lentils,ha,6000.000,5,1926,1930,51,1000,6471.000,16
juan,france,tobacco unmanufactured,ha,16000.000,5,1895,1899,88,1000,7900.000,42
juan,germany,grapes,ha,120000.000,5,1883,1887,78,10000,53000.000,70
juan,germany,hemp tow waste,ha,1000.000,5,1949,1954,41,1000,200.000,17
juan,germany,hempseed,ha,1000.000,5,1949,1954,41,1000,200.000,17
juan,guatemala,groundnuts with shell,ha,1000.000,5,1939,1944,8,1000,5.000,3
juan,haiti,coffee green,ha,141600.000,5,1928,1932,19,100,141690.000,1
juan,haiti,horses,heads,400000.000,5,1932,1939,10,100000,110000.000,5
juan,honduras,potatoes,tonnes,2000.000,5,1955,1959,12,1000,10474.200,1
juan,ireland,flax fibre and tow,ha,2000.000,5,1935,1939,58,1000,100.000,37
juan,ireland,linseed,ha,2000.000,5,1935,1939,58,1000,100.000,37
juan,ireland,rye,tonnes,3000.000,5,1950,1955,56,1000,1300.000,43
juan,italy,groundnuts with shell,ha,1000.000,5,1936,1940,26,1000,200.000,1
juan,italy,groundnuts with shell,ha,4000.000,5,1948,1952,26,1000,200.000,1
juan,italy,lentils,ha,26000.000,5,1950,1954,26,1000,20557.000,11
juan,italy,linseed,tonnes,12000.000,5,1947,1951,52,1000,2200.000,34
juan,italy,sesame seed,tonnes,300.000,5,1940,1944,26,100,373.900,1
juan,italy,sesame seed,ha,2000.000,5,1956,1960,26,1000,337.000,10
juan,italy,soybeans,ha,1000.000,5,1949,1953,25,1000,6.000,15
juan,italy,soybeans,ha,300.000,5,1955,1959,25,100,6.000,9
juan,italy,tangerines mandarins clementines satsumas,ha,10250.000,5,1941,1945,27,10,7766.000,5
juan,luxembourg,rye,ha,4000.000,5,1955,1959,48,1000,4100.000,24
juan,malta,potatoes,ha,4000.000,5,1936,1940,49,1000,1300.000,23
juan,mexico,cocoa beans,tonnes,2000.000,5,1919,1923,60,1000,547.200,33
juan,mexico,lentils,tonnes,2000.000,5,1946,1951,27,1000,399.983,16
juan,mexico,lentils,ha,3000.000,5,1946,1951,27,1000,1262.000,16
juan,mexico,peas dry,ha,7000.000,5,1946,1955,24,1000,3480.000,16
juan,mexico,sweet potatoes,ha,12000.000,5,1948,1953,33,1000,5405.000,21
juan,norway,grain mixed,ha,4000.000,5,1947,1951,48,1000,5400.000,15
juan,norway,grain mixed,ha,2000.000,5,1956,1960,48,1000,5400.000,15
juan,norway,rye,ha,6000.000,5,1933,1937,64,1000,500.000,26
juan,norway,rye,ha,1000.000,5,1947,1951,64,1000,500.000,26
juan,norway,rye,ha,1000.000,5,1953,1957,64,1000,500.000,26
juan,paraguay,coffee green,tonnes,100.000,5,1940,1944,20,100,72.500,14
juan,paraguay,groundnuts with shell,tonnes,10000.000,5,1954,1958,29,10000,4000.000,24
juan,puerto rico,grapefruit inc pomelos,tonnes,19000.000,5,1948,1953,25,1000,300.000,11
juan,puerto rico,rice paddy,tonnes,2000.000,5,1955,1959,14,1000,800.000,3
juan,spain,carobs,ha,152000.000,5,1950,1954,98,1000,96333.495,76
juan,spain,cherries,ha,1000.000,5,1941,1945,98,1000,271.845,93
juan,spain,millet,ha,1000.000,5,1955,1959,101,1000,34.792,96
juan,spain,plums and sloes,ha,2400.000,5,1948,1952,98,100,353.571,75
juan,spain,tangerines mandarins clementines satsumas,tonnes,71900.000,5,1939,1943,98,100,23280.161,92
juan,sweden,flax fibre and tow,ha,500.000,5,1929,1933,52,100,2722.000,1
juan,sweden,tobacco unmanufactured,tonnes,300.000,5,1950,1955,55,100,384.000,40
juan,switzerland,maize,tonnes,4000.000,5,1953,1957,53,1000,2100.000,35
juan,united states of america,oil olive virgin,tonnes,700.000,5,1932,1936,46,100,192.913,16
juan,uruguay,grapes,ha,18000.000,5,1943,1949,52,1000,3610.000,29
juan,yugoslav sfr,rice paddy,ha,3000.000,5,1934,1938,29,1000,1100.000,8
mitchell,australia,rice paddy,ha,10000.000,5,1937,1941,35,10000,1000.000,27
mitchell,dr congo,sheep,heads,300000.000,5,1919,1923,26,100000,244000.000,20
mitchell,indonesia,tea,tonnes,1000.000,5,1858,1862,104,1000,700.000,39
mitchell,lebanon,wheat,ha,70000.000,5,1953,1957,20,10000,53000.000,11
mitchell,senegal,rice paddy,ha,50000.000,5,1922,1926,37,10000,31000.000,24
mitchell,sierra leone,rice paddy,tonnes,190000.000,5,1940,1944,42,10000,102000.000,30
